n=?,Parallel,Comm,Serial
10,221,195,17
50,765,607,287
100,1290,721,1097
200,2990,784,4355
500,15123,1302,27277
1000,64491,2582,121650
2000,228297,6455,451219
4000,1082155,22504,1977460
10000,6303260,157349,11866177
20000,26270282,2098859,46432864
