n=?,Parallel,Comm,Serial
10,295,269,18
50,642,510,286
100,1307,848,1110
200,2753,959,4390
500,13225,1607,28215
1000,51210,4286,115681
2000,223407,15746,466718
4000,1038829,86713,1824673
10000,5005865,337387,11320477
20000,22927659,3272492,47526882
