n=?,Parallel,Comm,Serial
10,341,318,18
50,1583,1449,375
100,1631,1123,1121
200,4706,2914,4594
500,24388,12617,28716
1000,91947,44502,117387
2000,422797,186541,476713
4000,1600394,765922,1979327
10000,9868522,4628577,11950520
