n=?,Parallel,Comm,Serial
10,526,501,18
50,1530,1408,306
100,1880,1443,1173
200,3526,1515,4706
500,14379,2234,28453
1000,54437,4379,123257
2000,215724,12340,469316
4000,961804,47366,1939424
10000,5998418,258288,12059839
