p, Blocking, Non-Blocking, Collective
2, 1.88630971763502, 0.987129372770833, 2.25895332942785
4, 2.26421367819681, 1.27668113152142, 2.40947806990538
8, 2.12058767739822, 1.64706886141083, 2.24663652605097
