n=?,Parallel,Comm,Serial
10,599,576,12
50,1064,945,295
100,3526,2022,1485
200,3249,1563,5207
500,20560,8658,31107
1000,48723,5292,117397
2000,199030,18282,466403
4000,941462,49666,2102241
10000,5693965,724166,12479959
